SampleID,SiteID,Long,Lat
ALM16-203,Cygnet Pond,-110.624609,43.902218
ALM16-204,Mt. Moran turnout,-110.640875,43.804364
ALM16-205,AMK Ranch,-110.64224,43.937965
ALM16-206,Bear paw lake trail,-110.725545,43.797224
ALM16-208,Mt. Moran turnout,-110.640875,43.804364
ALM16-209,Wilderness Rd 3,-110.474666,43.909785
ALM16-210,Bear paw lake intersection,-110.728402,43.827727
ALM16-211,North Jenny lake,-110.721751,43.786978
ALM16-212,String lake parking,-110.729962,43.785269
ALM16-214,Pilgrim Creek,-110.580039,43.915136
ALM16-215,Death canyon Rangers,-110.831674,43.665297
ALM16-216,Pilgrim Creek,-110.580039,43.915136
ALM16-217,Pilgrim Creek,-110.580039,43.915136
ALM16-218,Pilgrim Creek,-110.580039,43.915136
ALM16-220,Death canyon phelps lake,-110.805065,43.655143
ALM16-222,Death canyon phelps lake,-110.805065,43.655143
ALM16-223,Pilgrim Creek,-110.580039,43.915136
ALM16-224,Death canyon Rangers,-110.831674,43.665297
ALM16-225,Death canyon Rangers,-110.831674,43.665297
ALM16-226,"Death Canyon. UTM 514946, 4833685 - on death canyon trail, not in designated meadow",-110.814648,43.656015
ALM16-227,Death canyon Rangers,-110.831674,43.665297
ALM16-229,Death canyon phelps lake,-110.805065,43.655143
ALM16-230,Death canyon phelps lake,-110.805065,43.655143
ALM16-231,Pilgrim Creek,-110.580039,43.915136
ALM16-232,Pilgrim Creek,-110.580039,43.915136
ALM16-237,Death canyon Rangers,-110.831674,43.665297
ALM16-238,Death canyon Rangers,-110.831674,43.665297
ALM16-239,"Death Canyon. UTM 0516038, 4833635 - on death canyon trail, not in a designated meadow",-110.801107,43.655542
ALM16-240,Death canyon phelps lake,-110.805065,43.655143
